# There are 260 settings from 11 to 270
# plus zero ohms for a grand total of 261
# Rnominal, Registers[1-4], Ractual, Rerror
140.0	124	125	125	125	140.040	-0.040
141.0	125	126	126	126	141.030	-0.030
142.0	127	127	127	126	142.030	+0.030
143.0	129	129	129	128	142.980	+0.020
144.0	129	129	129	130	143.990	-0.010
145.0	131	130	130	130	144.990	+0.010
146.0	131	131	131	131	145.990	+0.010
147.0	132	132	132	132	146.930	+0.070
148.0	132	133	133	133	147.880	-0.120
149.0	134	134	134	134	149.080	-0.080
150.0	134	135	135	135	149.960	-0.040
151.0	136	136	136	135	150.960	+0.040
152.0	137	137	137	136	151.930	+0.070
153.0	137	138	138	138	153.100	-0.100
154.0	138	138	139	139	154.040	-0.040
155.0	139	139	140	140	154.990	-0.010
156.0	141	141	140	140	155.990	+0.010
157.0	142	141	141	141	156.950	+0.050
158.0	142	142	142	143	158.060	-0.060
159.0	145	145	144	144	158.960	+0.040
160.0	145	145	145	145	160.090	-0.090
161.0	146	146	146	146	161.040	-0.040
162.0	147	147	147	147	162.110	-0.110
163.0	147	148	148	148	162.880	-0.120
164.0	148	149	149	149	164.080	-0.080
165.0	149	150	150	150	165.020	-0.020
166.0	150	150	151	151	165.980	-0.020
167.0	152	152	151	151	166.980	+0.020
168.0	153	153	153	152	168.110	+0.110
169.0	153	153	154	154	169.070	-0.070
170.0	154	154	154	155	169.940	-0.060
171.0	155	155	155	156	171.040	-0.040
172.0	157	156	156	156	172.040	+0.040
173.0	157	157	157	157	173.000	-0.000
174.0	158	158	158	158	173.920	+0.080
175.0	159	159	159	159	175.090	-0.090
176.0	160	161	161	161	176.110	-0.110
177.0	161	162	162	162	177.070	-0.070
178.0	162	162	163	163	178.020	-0.020
179.0	164	164	163	163	179.020	+0.020
180.0	165	165	164	164	179.970	+0.030
181.0	165	165	166	166	181.090	-0.090
182.0	167	167	166	166	182.090	+0.090
183.0	167	167	167	168	182.960	-0.040
184.0	169	168	168	168	183.960	+0.040
185.0	169	169	169	169	185.000	-0.000
186.0	170	170	170	170	185.970	+0.030
187.0	170	171	171	171	186.910	-0.090
188.0	172	172	172	171	187.910	+0.090
189.0	172	173	173	173	189.070	-0.070
190.0	173	174	174	174	190.010	-0.010
191.0	175	175	175	174	191.010	+0.010
192.0	176	176	176	177	192.010	-0.010
193.0	177	177	177	178	192.990	-0.010
194.0	179	178	178	178	193.990	+0.010
195.0	179	179	179	180	194.930	-0.070
196.0	181	180	180	180	195.930	+0.070
197.0	181	181	181	181	196.990	+0.010
198.0	182	182	182	182	197.970	+0.030
199.0	183	183	183	183	199.030	-0.030
200.0	183	184	184	184	199.920	-0.080
201.0	184	185	185	185	201.080	-0.080
202.0	185	186	186	186	202.060	-0.060
203.0	187	187	187	186	203.060	+0.060
204.0	187	187	188	188	203.900	-0.100
205.0	188	188	189	189	205.090	-0.090
206.0	189	189	190	190	206.040	-0.040
207.0	190	190	191	191	207.000	-0.000
208.0	193	193	193	192	208.060	+0.060
209.0	193	193	193	194	209.060	-0.060
210.0	195	194	194	194	210.060	+0.060
211.0	195	195	195	195	211.020	-0.020
212.0	196	196	196	196	211.950	+0.050
213.0	196	197	197	197	212.890	-0.110
214.0	197	198	198	198	213.910	-0.090
215.0	198	199	199	199	215.090	-0.090
216.0	199	200	200	200	216.070	-0.070
217.0	200	200	201	201	216.930	-0.070
218.0	202	202	201	201	217.930	+0.070
219.0	202	202	203	203	219.090	-0.090
220.0	204	204	203	203	220.090	+0.090
221.0	204	204	204	205	220.970	-0.030
222.0	206	205	205	205	221.970	+0.030
223.0	206	206	206	207	223.030	-0.030
224.0	209	209	208	208	224.030	+0.030
225.0	209	209	209	209	225.000	-0.000
226.0	210	210	210	210	226.080	-0.080
227.0	210	211	211	211	226.980	-0.020
228.0	212	212	212	211	227.980	+0.020
229.0	213	213	213	212	228.910	+0.090
230.0	214	214	214	213	230.110	+0.110
231.0	214	214	215	215	230.910	-0.090
232.0	216	216	215	215	231.910	+0.090
233.0	216	216	217	217	233.060	-0.060
234.0	217	217	218	218	234.010	-0.010
235.0	218	218	218	219	234.990	-0.010
236.0	220	219	219	219	235.990	+0.010
237.0	221	220	220	220	236.970	+0.030
238.0	221	221	221	222	238.040	-0.040
239.0	223	222	222	222	239.040	+0.040
240.0	223	223	223	223	240.000	-0.000
241.0	225	225	225	225	240.950	+0.050
242.0	226	226	226	226	241.920	+0.080
243.0	227	227	227	227	243.070	-0.070
244.0	228	228	228	228	244.030	-0.030
245.0	228	229	229	229	244.970	-0.030
246.0	230	230	230	229	245.970	+0.030
247.0	231	231	231	230	246.940	+0.060
248.0	231	232	232	232	247.910	-0.090
249.0	232	232	233	233	248.970	-0.030
250.0	234	234	233	233	249.970	+0.030
251.0	234	234	235	235	251.070	-0.070
252.0	235	235	236	236	251.980	-0.020
253.0	237	237	236	236	252.980	+0.020
254.0	237	237	237	238	253.910	-0.090
255.0	238	238	238	239	255.020	-0.020
256.0	240	241	241	241	256.060	-0.060
257.0	242	242	242	241	257.060	+0.060
258.0	242	242	243	243	257.950	-0.050
259.0	244	244	243	243	258.950	+0.050
260.0	244	244	245	245	260.010	-0.010
261.0	246	246	245	245	261.010	+0.010
262.0	247	247	246	246	261.930	+0.070
263.0	248	247	247	247	262.920	+0.080
264.0	248	248	248	249	263.980	-0.020
265.0	250	249	249	249	264.980	+0.020
266.0	250	250	250	251	265.990	-0.010
267.0	252	251	251	251	266.990	+0.010
268.0	252	252	253	253	268.090	-0.090
269.0	253	253	254	254	269.020	-0.020
270.0	255	255	254	254	270.020	+0.020
